,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,part type,size / dimensions,brake type,electric assist,handlebar type,suspension,serial number
17622,2295.0,boston,https://boston.craigslist.org/bmw/sgd/d/electric-the-mid-drive-ebike-that/7468086941.html,2022-04-07 09:01,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!,,,,,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.", new, Cyberbike,,,,,,,,
17623,1300.0,boston,https://boston.craigslist.org/nwb/bik/d/westford-rad-runner-plus-bike/7467969647.html,2022-04-06 20:18,Rad Runner Plus E-Bike, aluminum, other, Step through, 20 in,5,This is a year old Rad Runner Plus.  It has a little over 300 miles on it.  I added the additional storage bin.  Everything works like new.,, Rad Bikes, Rad Runner,,,,,,,
17624,475.0,boston,https://boston.craigslist.org/gbs/bik/d/boston-zize-leaf-bike-550lb-weight-limit/7467880320.html,2022-04-06 16:37,Zize Leaf Bike 550lb weight limit, steel, other, 54.5 x 8 x 31.5 in, 26 in,2,"** AVOID HIGH GAS PRICES** I purchased a new Zize Leaf 2.0 over a year ago ($2,500.00), received it, and put it together. Due to some medical issues, I, unfortunately, was never able to ride my new bike. This bike is brand new and NEVER USED!! 550lbs weight limit!!  Leaf 2.0 is number one in the market! It has a custom Chromoly steel frame and front fork, forged alloy shaft, and double bolted seat post. Wheels include spokes made of stainless steel; extra-wide, double-wall alloy rims; wide tires with high thread count, and inner tubes with Slime sealant which repeatedly dealis punctures like magic!!  An 8-Speed internal gear system enclosed in a hub, never have to worry about chains falling off. You can shift from any position- while pedaling, cruising, or from a complete stop- nothing to coordinate. No need to oil the chain after rides also means zero maintenance.", like new, Zize Bikes, Leaf 2.0,,, disc (hydraulic),, aero,,
17625,200.0,boston,https://boston.craigslist.org/gbs/bik/d/cambridge-trek-mountain-bikes-best-offer/7467105144.html,2022-04-04 21:05,Trek Mountain Bikes Best Offer,,,,,0,,,,,,,,,,,
17626,25.0,boston,https://boston.craigslist.org/nos/bik/d/manchester-family-bikes-for-sale/7467082506.html,2022-04-04 19:57,Family bikes for sale, steel, mountain, various, 20 in,4,Four bikes of four different sizes for sale.  Some need initial maintenance.  Will sell together or individually.  Will assist purchasers with maintenance & lubrication required.  Bike shop in town for parts.    Make offers.  1) $100 obo.  GT Borrego.  Small.  Suntour components.  Needs new tires.  Professionally serviced within the last five years.  2) $150 obo.  LL Bean Ridge Runner.  2019.  Runs very well. Rear tire worn. 3) $50 obo.  Diamondback Viper.  Small. Coaster and rear brake.  4) $25 obo.  Diamondback Viper. Ex Small.  Coaster brake only.,, various,,,,,,,,
17627,10.0,boston,https://boston.craigslist.org/sob/bab/d/quincy-baby-bikes/7466962779.html,2022-04-04 15:31,Baby bikes,,,,,0,"Baby bikes for ages 9mo-3 years old  Pink one does have rip, does not impact use tho.  Blue has no rips.", good,,,,,,,,,
17628,850.0,boston,https://boston.craigslist.org/gbs/bik/d/somerville-priority-continuum-onyx-17/7466514557.html,2022-04-03 14:37,"Priority Continuum Onyx (17"")", aluminum, hybrid/comfort," 17""", 700C,0,"I own a wonderful Priority Continuum Onyx (size 17"") bike. I *love* this bike, but I'm a bit tall for it, so I'm looking to trade it for a 19"" model. If you have a Priority Continuum Onyx (size 19"") and are looking for a 17"" model, please reach out!  As of January 2022, these bikes retail new for $1299: https://www.prioritybicycles.com/products/continuumonyx  From Wired Magazine: ""I’ve got some good news: I think I’ve found the ideal city bike. The Priority Continuum Onyx offers all the features you want in an urban commuter, from disc brakes and fenders to a no-maintenance drivetrain.""  Features:  • Nuvinci CVT Rear Hub  • Rust-Free Gates Carbon Belt Drive  • Tektro or Promax Hydraulic Disc Brakes  • Dynamo Front and Rear Powered Lighting  • Durable Composite Color Matched Fenders  • Rear rack (another $35 value) • 360 visibility with reflective decals  • Reflective Highlight Strip on Tire Sidewall  • Internal gear routing  • Puncture-Resistant WTB Tires (700x32)  • Pre-Drilled for Most Rear and Front Side Accessories  • Reflectors: Front, Rear, Pedals, Wheels • Kickstand Included", good, Priority Bikes, Continuum Onyx,,, disc (mechanical), none, flat,,
17629,50.0,boston,https://boston.craigslist.org/nos/bik/d/methuen-many-bikes-by-owner-must-sell/7466449487.html,2022-04-03 12:15,Many bikes by owner must sell, steel, road, 28 inch, 28 in,0,"I have several bikes to sell ,must clean out my garage,the prices are very cheap for the quality of the bikes .For more info please call  show contact info",,,,,,,,,,
17630,200.0,boston,https://boston.craigslist.org/gbs/bik/d/west-roxbury-huffy-speed-bikes/7464798701.html,2022-04-03 09:50,2 Huffy 3 speed bikes, steel, road, ?, other/unknown,4,"2 Huffy 3 speed bikes, $199",,,,,,,,,,
17631,600.0,boston,https://boston.craigslist.org/gbs/bik/d/cambridge-se-bikes-blocks-flyer-26/7453792531.html,2022-04-03 08:09,Se Bikes Blocks Flyer 26” Fully Tuned Ready to Roll, aluminum, bmx, Riders 5’3” + up, 26 in,7,"Se Bikes Blocks Flyer 26” Fully Tuned Ready to Roll. Hookworm Tires. This bike is in excellent condition, just had it tuned up.  Also have a few 24” So Cals if you are interested in other bicycles. Feel free to text: show contact info  for faster reply.",,,,,,,,,,
17632,5.0,boston,https://boston.craigslist.org/gbs/bab/d/arlington-kids-bikes/7466123984.html,2022-04-02 13:59,kids bikes,,,,,2,5 dollars each,,,,,,,,,,
17633,100.0,boston,https://boston.craigslist.org/gbs/bop/d/melrose-bikes-for-repair-or-parts/7466019448.html,2022-04-02 10:33,2 bikes for repair or parts,,,,,6,I have 2 bikes for sale to fix up or use for parts see photos for details. One is a Ross and one is an innova. Innova has flat tires and will not hold air., fair,,,,,,,,,
17634,30.0,boston,https://boston.craigslist.org/gbs/bab/d/newton-toddlers-kids-toys-bikes-shoes/7454388978.html,2022-04-02 08:24,"Toddlers/Kids toys, bikes, shoes, cups, Clothes,etc.",,,,,10,"Kids toys, electronic fun game toys, 4 wheels bike, truck, NUK 4 sippy cups, set of 3 bibs, and kids toy bag with full of toys, 2 sets of shoes.These have been barely used.  4 Sippy cups , shoes size 7 and bibs have not been used. Clothes includes pants, shirts and shorts about 30 pieces. All are 2T and are all barely used and are in good condition. The selling rate for all is $30.00", excellent,,,,,,,,,
17635,225.0,boston,https://boston.craigslist.org/nos/mpo/d/wakefield-showroom-mobile-motorcycle/7459235291.html,2022-04-01 18:04,Showroom Mobile Motorcycle Detailing,,,,,0,"I have been doing this on the side for over 25 years and even longer than that on my own bikes  Different packages to choose from ranging from a complete polish to a quick wash. Feel free to ask me for a no-pressure, no-obligation price. Only top of the line products used but what a great job comes down to is the willingness to get deep in there and scrape up your hand. My love and admiration for motorcycling is evident in every single bike I do, and I almost exclusively detail bikes. Completely mobile, can come to the bike. Email me for my number and to book an appointment soon because time slots are starting to fill up as we quickly approach riding season", like new, Harley Davidson, All Bikes,,,,,,,
17636,280.0,boston,https://boston.craigslist.org/nos/bik/d/beverly-raleigh-10-speed-bikes-mf/7465737348.html,2022-04-01 15:02,RALEIGH 10 SPEED BIKES  M+F, titanium, cruiser, 26 28, 26.5 in,0,"GIRLS +BOYS /RALEIGH limited ,10 speed ,grand prix ,bikes ,$280.00 each .ti-raleigh limited, 20-30 high tensile, balance tubing. silver, mint cond.", like new, RALEIGH, GRAND PRIX,,, u-brakes, none, drop, suspension fork (hardtail),
17637,80.0,boston,https://boston.craigslist.org/nwb/bik/d/wilmington-mini-bmx-bikes/7465347347.html,2022-03-31 15:58,Mini Bmx bikes, steel, bmx, 10 and 12, 12 in,2,"Have an oil slick mini 12inch bmx bike for sale. Its a couple years old and in good condition, asking $150.Also have a mini 10inch green and black mini bmx bike in good condition.Asking $80. Call  show contact info",,,,,,,,,,
17638,250.0,boston,https://boston.craigslist.org/gbs/bik/d/boston-schwinn-suburbans-matching/7456626131.html,2022-03-31 13:52,Schwinn Suburbans matching Vintage his and hers bikes, steel, road, Medium, 27 in,0,I will be in Boston with the bikes on 6/13/2021  Hello I have two brown vintage classic Schwinn Suburbans.   They have the light generators. They also have  what I believe was a bike rack converter  into a child seat.   I also have the original touring bar for the male bike.   Both Suburbans have surface rust from sitting but should clean up nicely.  Nice for a collector or restorer!!!  $250 for both.   Would really love to see them go as a pair!!,, Scwhinn, Suburban,,,,,,,
17639,150.0,boston,https://boston.craigslist.org/gbs/bik/d/brookline-village-speed-raleigh-and/7455051214.html,2022-03-31 12:09,3-speed Raleigh (and other) bikes, steel, cruiser," 21""", 26 in,0,"I have several vintage Raleigh 3-speed bikes, both men's and women's style 21"" frames, for heights 5 feet to 6 feet tall, all tuned up and ready to ride.  These classic sturdy bikes have been fully mechanically refurbished which means oil and grease and cleaning/adjustments for wheel hubs, internal gear hubs, bottom brackets/axle, headsets, pedals, as needed. Tires and tubes hold air.    Though sold ""as is,"" I stand behind my bikes and can help you keep them running for years. These are ""new bike alternatives"" for 1/3 to 1/2 of the price for current new bikes (that are not cheap Walmart or Amazon bikes).    Here are several pictured, not all-inclusive. Send reply with cell phone and we can chat about sizing and price (some are less) Open to offers. Here's a list of what I have:  Black Raleigh/Rudge 3 speed 23"" men's frame, $160  Blue Robin Hood single speed coaster brake, 19.5"" step-through frame, 1969, $130  Green Raleigh Sprite 5 speed S-5 internal hub (rare), 21"" men's style frame, 1969, $400  Green Raleigh 3-speed women's style 21"" frame, 1967, Brooks leather seat, Prestube Minor rack, $250  Bikes will be deleted once sold, test rides in Brookline, MA, some bikes available in Westerly, RI, as well. Cash only, local pickup, no shipping. Include cell phone # in reply to be taken seriously.", excellent, Raleigh, Sports,,, caliper,, cruiser, none (rigid),
17640,50.0,boston,https://boston.craigslist.org/bmw/bik/d/waltham-mountain-bikes-and-bmx-parts/7452726051.html,2022-03-31 05:59,MOUNTAIN BIKES AND BMX PARTS, aluminum, recumbent/trike, 54, 26 in,4,BIKE SHOP OUT OF BUISNESS TRECKS SCHWINN COLUMBIA OTHER BRANDS 26 AND 24 INCH MANY ALL ALUMIUM WITH SUSPENSION PRICES START AT $50 AND UP ALSO MANY BMX STYLE BIKES  TONY HAWK  GARY FISHER FUIJI HOWARD  16 TO 21 INCH MANY TO CHOOSE FROM  BY APPOINTMENT ONLY   show contact info, excellent,, tree,,, u-brakes,,,,
17641,899.0,boston,https://boston.craigslist.org/gbs/spo/d/shrewsbury-airdyne-ad7-bikes/7452352404.html,2022-03-30 13:14,Airdyne AD7 Bikes,,,,,0,"Hi...  Brand new in a box- Cross Fit Airdynes bikes just $899!  Delivery available!  Fully adjustable, many HITT programs, best seat by far on any of these bikes!  Come try it out before you buy-  In stock and ready to go!  We have 5 left!  Come check out New Englands Largest Showroom of New and Used Fitness Equipment!  Fit Equipment Etc 243 Boston Turnpike Shrewsbury, Ma 01545 FitnessEquipmentEstore.com   Delivery and install available!",,,,,,,,,,
17642,35.0,boston,https://boston.craigslist.org/nos/bik/d/fall-river-lots-and-lots-of-bikes-for/7462845612.html,2022-03-30 11:05,lots and lots of bikes for sale, aluminum, mountain, 27, 25 in,3,"We’ve lots of bikes available for sale, some are complete and Other will need some TLC  7 7 4 2 2 6 8 00 9", like new,,,,,,,,,
17643,25.0,boston,https://boston.craigslist.org/gbs/bop/d/waltham-bikes-available-bike-racks-too/7459895688.html,2022-03-30 08:55,Bikes available & bike racks too via private seller.,,,,,9,Rain tomorrow but not today: Pick up a bike & go for a ride. Bike racks start at just $25 & bikes run higher but still at a discount. Open all day for your purchase acquisition. Thank you., like new, All., See pics., other, All sizes & extra lightweight.,,,,,
17644,1699.0,boston,https://boston.craigslist.org/sob/bid/d/plymouth-izip-electric-bikes-pedal/7464730699.html,2022-03-30 08:52,IZIP Electric E-Bikes Pedal Assist Bicycle's, aluminum, hybrid/comfort, Small Medium Large, 26 in,11,"We are New England's largest stocking E-Bike Only Dealer with 300 E -bikes in stock  Proudly Selling Only Premium Brands from Aventon, Haibike, Bulls, Cannondale Yamaha, Giant, LIV,  Momentum, Raleigh, Diamondback Serial One, ORBEA,  and IZIP  Financing Available with zero down to qualified buyers  Demo's bikes available for test rides and trades always welcome  IZIP TRLZ MSRP $1,999 Sale $1,699  IZIP Zuma Luxe $2,900  IZIP Vida $2,900  IZIP Sumo $3,150  IZIP Vibe $2,300  IZIP Tristar $3,150", new, IZIP, All,,, disc (hydraulic), pedal assist, cruiser, suspension fork (hardtail),
17645,600.0,boston,https://boston.craigslist.org/gbs/bik/d/allston-ivory-public-bike-v7/7452640675.html,2022-03-28 11:53,Ivory Public Bike V7, other/unknown, hybrid/comfort, Medium 54.5cm, other/unknown,6,"Public V7 bike in ivory 6 months old, stored indoors, in great condition!   Bought for new for $649, added the Brooklyn Bike front basket $100 and premium leather seat from Brooks England B-17 Saddle $150 - so with upgrades approx. $899 value. I'll include my helmet, bike lock (with two keys) and my bike lights on front and back (another ~$150 worth of gear). So my price is firm, cash and meet up in person only!   These are usually sold out with long wait times, so convenient way to get upgraded bike.   It’s a small/medium frame - I’m 5’9” and with the seat adjusted it’s good for me. On website it says ideal for 5’2” to 5’8”.   I’m looking for a road bike since I bike +15 miles, so trying to get back most of what I spent.   email for extra questions :)  https://publicbikes.com/products/public-v7?gclid=CjwKCAiApfeQBhAUEiwA7K_UH8DPK_SjRReSbsxhO8oJTkV0ucdP0jRg2uikdy7SjgsxFJ_B08a9XhoCXfcQAvD_BwE  FRAMESET Frame:  PUBLIC chromoly hi-tensile blend, with fender and rack braze-ons, integrated kickstand bracket Fork:  PUBLIC hi-tensile steel unicrown fork, with fender and rack braze-ons Chainguard: Painted to match, steel Kickstand: Alloy center mount", like new, Public Bikes, V7,,,,,,,
17646,100.0,boston,https://boston.craigslist.org/nos/for/d/melrose-allen-bikes-bike-rack/7451691801.html,2022-03-28 08:32,ALLEN 4 bikes bike rack,,,,,14,"Manufacturer description:  - Fits sedans, hatchbacks, minivans and SUV's - Patented quick snap set up design allow for super quick set up.  - Padded lower frame keeps bicycles away from vehicle - 21 inch long carry arms easily accommodate up to 4 bicycles 140 pound max capacity - Clear arch top and bottom feet provide maximum vehicle clearance for rack - Individual dual compound tie down cradles secure and protect bicycles  - 2 patented sure strap lower straps keeps bottom hooks in place during use - Extra-large car pads help to distribute bicycles load and protect vehicle finish; Material: Steel  The rack is available if you see the post. I have more racks you can see by pressing ""more ads by this user"" button.  Local pick up and cash/Venmo only!", like new, ALLEN,,,,,,,,
17647,300.0,boston,https://boston.craigslist.org/gbs/bik/d/cambridge-woom-excellent-condition/7460363439.html,2022-03-27 11:51,Woom 2 - Excellent Condition, aluminum, kids, Unknown, 14 in,0,"This is the best bike for kids 4-6 years old.  Red Woom 2 bike, excellent condition. Minimal wear and tear. Coaster wheel available if needed. Size: inseam range 16″ - 19.1″, ride height range: 37″ - 43″",, Woom Bikes, 2,,, caliper,,, none (rigid),
17648,2000.0,boston,https://boston.craigslist.org/gbs/mpo/d/west-bridgewater-project-bikes/7463543744.html,2022-03-27 10:39,2 project bikes,,,,,0,I have 2 project bikes for sale both are a little rough one is a 78 GS-1000 and the other is a 73 can am 175 2 stroke both are stock and complete. They have been sitting for years both ran when parked.I have a shop manual with the can am., fair, Suzuki, 78 GS 1000,,,,,,,
17649,80.0,boston,https://boston.craigslist.org/bmw/bik/d/holliston-pair-of-diamondback-viper-jr/7463273426.html,2022-03-26 14:34,Pair of Diamondback Viper Jr BMX Bikes, steel, bmx, 20” bikes, 20 in,0,That’s $80 for the pair!  They are in great working condition.  They were used by two boys and have scratches and scuffs as a result.  Great starter bikes.  My kids grew out of them., fair, Diamondback, Viper jr,,, cantilever,,, none (rigid),
17650,9999.0,boston,https://boston.craigslist.org/sob/bid/d/plymouth-bulls-bikes-electric-bicycle/7462792415.html,2022-03-25 12:49,Bulls E-Bikes Electric Bicycle Monster Fat Cooperhead FS45, aluminum, mountain, Small Medium Large, 27.5 in,21,"Bulls E-Bike Model Year Clearance Sale Save up to 20% and Free Delivery  FS-45 Demo MSRP $5,499 Sale $3,999 Class 3 28MPH  Estream EVO FS AM-2  $5,899  Sale $5699  Estream EVO FS AM-3 $5,699 Sale $5,199  Estream EVO FS AM-4 $6,199 Sale $5,599  Copper Head AM-4 $7,899 Sale $6,999  Copper Head AM-1 $5,399 Sale $5,099  Kids Model Twenty-4 $3,499  Sturmvogel $3,699 Sale $3,199  Iconic TR-1 $5,099 Sale $3,999  Sentinel $5,499 Sale $5,299  Desert Falcon $6,299 $5,999  NE Largest E-Bike Stocking Dealer 10 Premium Brands 300 Bikes in stock  Featuring: Giant Specialized  Bulls  Haibike  Raleigh  IZIP  Orbea  Yamaha  Intense  Stacyc   Diamondback  Cannondale ORBEA  Zero Down Financing Available and Trades Welcome   Call 508-857-3777     Click EBIKES508.com     Or Visit Our Showroom  Electric bikes pedal and handle just like a regular bicycle use the same parts too. The electric component is  meant to augment human power, not completely replace it. It makes obstacles like hills and headwind more  manageable and allows you to travel further.", new, Bulls, E-MTB,,, disc (hydraulic), pedal assist, flat, frame and fork (full suspension),
17651,25.0,boston,https://boston.craigslist.org/nwb/bik/d/chelmsford-25-bikes-for-sale/7462145903.html,2022-03-23 20:18,(25) Bikes for sale, other/unknown, bmx, 19, other/unknown,4,(25) Bikes for sale $25-150 each or best offer buy one or all, good,,,,, other/unknown,, other/unknown, other/unknown,
17652,1.0,boston,https://boston.craigslist.org/gbs/bik/d/windsor-locks-vintage-road-bikes-for/7456459728.html,2022-03-23 18:03,Vintage Road Bikes for sale - $1, alloy, road, 56, 27 in,9,"I am selling some nice vintage high end road bikes. Mostly 90's - 2000's high end road bikes. See pics. I am located about 2 hours SW of Boston and if you need a nice quality bike and dont want to pay Boston prices, it would be worth the trip! My inventory changes all of the time. You can see a more detailed description of the individual bikes I currently have by searching in the Hartford section of Craigslist under bikes, enter "" 06096 "" in the search box.  I can even deliver it for an additional $200",, various, various,,,,,,, none
17653,10.0,boston,https://boston.craigslist.org/nos/bik/d/north-reading-bikes10-each-20-inch-24/7461851021.html,2022-03-23 09:55,3 bikes$10 each  2-20 inch  1-24 inch, steel, kids, 20, 20 in,6,"All bikes in good working order . Front hand brake and rear pedal brake .   Will be on sidewalk , text time of pick up put money in mailbox .", excellent,,,,, caliper, none, bmx, none (rigid),
17654,25.0,boston,https://boston.craigslist.org/gbs/bik/d/brighton-kids-bikes-free-helmet-25/7448463843.html,2022-03-21 09:21,2 KIDS Bikes W/Free Helmet $25-Tricycle $10,,,,,0,,,,,,,,,,,
17655,100.0,boston,https://boston.craigslist.org/gbs/bik/d/lowell-kids-bikes-girls-disneys-frozen/7448010690.html,2022-03-20 15:48,Kid's Bikes Girl's Disney's Frozen Bike,,,,,0,,,,,,,,,,,
17656,1600.0,boston,https://boston.craigslist.org/gbs/bik/d/chester-rad-rover-bike/7460700687.html,2022-03-20 14:14,Rad Rover E Bike,,,,,0,,,,,,,,,,,
17657,10.0,boston,https://boston.craigslist.org/nos/bab/d/north-reading-bikes-1000-each/7460592976.html,2022-03-20 09:46,3 bikes $10.00 each,,,,,0,,,,,,,,,,,
17658,250.0,boston,https://boston.craigslist.org/gbs/bik/d/boston-classic-nishiki-maricopa-shimano/7472998070.html,2022-04-18 21:00,Classic Nishiki Maricopa (Shimano Claris; Medium), aluminum, road, Medium, 700C,12,"I hope you get to enjoy this classically-styled yet modern Nishiki Maricopa as much as I did. Had I not shifted my interests to gravel riding, I would not be listing this!  This size medium is best suited for riders 5'7"" through 5'11"".  This is a responsive, light road bike that can easily keep up with bikes triple its price. As an entry-level road bike, it is a great value with several newly replaced components and upgrades. New it sold for $699.00 circa 2018. Asking for $250.  Replacements: Front wheel replaced at Bicycle Belle 2 months ago ($96) Rear wheel replaced last summer ($88) Chain replaced last summer ($9)  Upgrades: Added Cross Top Brake Lever Set ($30) Added Vont Bike Light ($12) Added Ibera Lightweight Alloy Water Bottle Cage, 30gm ($9x2) Added Wellgo Pedals ($22) Added Hex Locking Anti-theft Skewer ($9)  Groupset: Shimano Claris 24-speed (3x8) Wheel Size: 700C Valve Type: Presta Color: Red with vintage red/white detailing Material: T6 6061 Aluminum alloy", excellent, Nishiki, Maricopa,,,,,, none (rigid),
17659,17500.0,boston,https://boston.craigslist.org/sob/mpo/d/north-marshfield-2013-road-glide-ultra/7463519361.html,2022-04-18 18:56,2013 Road Glide Ultra,,,,,3,"2013 Road Glide Ultra 13,000 original miles This bike is like brand new older owner with 3 bikes didn't ride this one. Clean title in hand don't let this one get away  $ 17,500  OBRO  Call or txt Dave @  show contact info   Don't make an offer unless your standing in front of me with Cash ! This bike must be seen.",, Harley Davidson, Road Glide Ultra,,,,,,,
17660,25.0,boston,https://boston.craigslist.org/bmw/bop/d/bolton-rhode-gear-bike-rack-fits-on/7471983223.html,2022-04-18 18:09,Rhode Gear Bike Rack- Fits On Most Trunks,,,,,0,,,,,,,,,,,
17661,800.0,boston,https://boston.craigslist.org/gbs/for/d/lexington-hci-physiocycle-recumbent/7468335642.html,2022-04-18 18:02,HCI Physiocycle Recumbent Bike Exercise Machine,,,,,0,"HCI Physiocycle XT 800 Bi-Directional UBE Recumbent Bike with Arms: $800  Bikes is in near perfect condition. Purchased new, professionally built, and used lightly for one year. Buyer responsible for pickup and transportation.  Note: Physiostep Recumbent Bike has been sold.",,,,,,,,,,
17662,30.0,boston,https://boston.craigslist.org/bmw/bop/d/needham-saris-bike-beam/7464181519.html,2022-04-18 17:40,Saris Bike Beam,,,,,2,Creates a top tube for mounting step through bike frames on car racks.  Length adjusts to fit most bikes and opens easily with a slide mechanism.  Never used it much so it's in great condition.,, Saris,, other,,,,,,
17663,900.0,boston,https://boston.craigslist.org/nos/spo/d/revere-new-nordic-track-s22i-studio/7464130732.html,2022-04-18 16:58,NEW NORDIC TRACK S22I STUDIO CYCLE,,,,,0,BRAND NEW!!  USED TWO TIMES  HALF PRICE!! LOCAL PICKUP ONLY  HERE IS THE LINK ON THE NORDIC TRACK SITE  www.nordictrack.com/exercise-bikes/s22i-studio-bike    Peloton, excellent, S22I, S22I,,,,,,,
17664,150.0,boston,https://boston.craigslist.org/nos/bik/d/salem-diamond-back-mountain-bike/7472026620.html,2022-04-18 15:34,Diamond back mountain bike, alloy, mountain, 17 inches, 26 in,0,Diamondback mountain bikes in great condition frame is 17 inch it has upgraded seat and seatpost pick up in Salem Mass if interested you can text me at  show contact info  thank you Danny,,,,,,,,,,
17665,200.0,boston,https://boston.craigslist.org/bmw/bik/d/watertown-vintage-schwinn-single-speed/7466657886.html,2022-04-18 14:46,Vintage Schwinn Single Speed, other/unknown, cruiser, I'm not sure, other/unknown,11,"Early 60’s Schwinn single speed Racer with coaster brake looking for a good home. The bike is in great shape mechanically and has almost brand new tires. The bikes features color matching metal fenders and amazing original blue paint job. With this originality comes some dents, scratches, and general patina. This bike has a great style and is a blast to ride.   Cash or Venmo",, Schwinn,,,,,,,,
17666,2600.0,boston,https://boston.craigslist.org/bmw/bik/d/lexington-scott-genius-900-full/7463111283.html,2022-04-18 14:22,Scott Genius 900 Full Suspension Mountain Bicycle, carbon fiber, mountain, Small, 29 in,7,"2016 Scott Genius 900 Full Suspension Mountain Bicycle  This used bike was a 2021 three-star build from a new old stock frame. It is very clean and in great condition. The bike is being sold as is because I don’t need it.  Pictures taken on 3/20/2022.  Size: Small Color: Green/Red/Black Frame: HMX Carbon Fiber / BB92PF / internal cable routing  Front Fork: FOX 32 Float Factory Air / Modes / 15x100mm QR axle / tapered steerer / Lockout / Reb. Adj. / 140mm Rear Suspension: FOX Nude w/ remote adjust / 130mm Shifters: Shimano XT 11 Speed Crankset: Shimano XT 34-24T Derailleur Front: Shimano XTR Derailleur Rear: Shimano XT Cassette: Shimano XT 11 speed, 11-40T Rims: Mavic 29” Tires: Specialized Butcher Grid 29 x 2.3"" Saddle: WTB Silverado  Geometry: Details are in the manual located on this website https://s3.amazonaws.com/assets.scott-sports.com/manuals/2017/bike/bikes/2017_Genius_EN_040717-web.pdf", excellent, SCOTT, GENIUS,,, disc (hydraulic),,, frame and fork (full suspension),
17667,160.0,boston,https://boston.craigslist.org/bmw/bik/d/framingham-2020like-new-specialized-20/7472808511.html,2022-04-18 14:04,"2020..Like New Specialized  20"" Girls Bike Ahe 5-8",,,,,0,,,,,,,,,,,
17668,1000.0,boston,https://boston.craigslist.org/sob/wad/d/bridgewater-junk-unwanted-cars-trucks/7472807558.html,2022-04-18 13:58,Junk/Unwanted Cars & Trucks Wanted. CASH PAID!,,,,,4,"JUNK OR UNWANTED CARS TRUCKS SUVS WANTED!!   We Pay Cash for Junk Vehicles!   ANY CONDITION!!  Damaged, Unwanted, Non-Running, Totaled, Wrecked. ALL CARS WANTED!  • Same Day Pick Up • No title needed • BEST PRICE GUARANTEED!!   CASH PAID ON THE SPOT. FREE PICKUP.  774-223-3335 call or text.  7️⃣7️⃣4️⃣ 2️⃣2️⃣3️⃣ 3️⃣3️⃣3️⃣5️⃣     Ford GMC Honda Toyota Chevy Hyundai Kia Dodge Mitsubishi Jeep Nissan Acura - plow- needs work - parts or repair - rotted - wrecked - junkyard - ATV - dirt bike - diesel - fleet - super duty - Excursion - Expedition- Explorer - F250 - F350 - Econoline - Dump Truck - Ranger - Power stroke - Auto Recycling - Junk Car Removal",,,,,,,,,,
