,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,size / dimensions,num image,text,bicycle frame material,bicycle type,frame size,wheel size,brake type,electric assist,handlebar type,suspension,part type,serial number
5755,600.0,denver,https://denver.craigslist.org/bik/d/broomfield-new-rv-foldable-speed-bikes/7468534022.html,2022-04-08 07:21,2 New RV Foldable 6 Speed Bikes, new, Adventure Bikes,,,2,"Perfect bike for travel 6 speeds with convenient thumb shifter.  Includes: New upgraded seats; foldable rear mirror; front and rear night lights; Adjustable seat and handlebars; Steel security cable; Rear travel Pouch; Front 2-Travel Pouch with a phone see through top; Padded canvas travel bags 1 only bike has Supplies Front Basket 15""X10""X9"" high-Padded inside-Pet Hold leash Folded Size: 35.4""L x 13.4""W x 28.3:H", alloy, other," 62""Lx 21""Wx 47""H", 20 in,, none, riser, other/unknown,,
5756,30.0,denver,https://denver.craigslist.org/bop/d/arvada-yakima-car-bike-rack-for-bikes/7468367264.html,2022-04-07 16:29,Yakima Car Bike Rack for 3 Bikes, good, Yakima,,,4,I am selling a Yakima trunk Bike Rack. It fits three bikes.  Fits on the trunk of almost any car. It is in really good condition.  If you are reading this it is still available. Thanks!,,,,,,,,," racks, fenders, bags",
5757,20.0,denver,https://denver.craigslist.org/bik/d/aurora-electric-bikes-for-sale/7468254663.html,2022-04-07 12:34,Electric Bikes for Sale, new, Pedago, Platinum,,8,"For Sale   Just in time for spring His and Hers 26"" Pedego Platinum electric bikes.  Hers has custom white fenders with head and tail lights, thumb throttle, rearview mirror, cell phone holder and wicker saddle bags.  Less than 30 mi. on this bike.  His has the custom titanium color fenders with only 16 mi..  Both bikes and front shocks and easy ride seats.  All accessories that are included are Bluetooth helmets, two 17.5AH batteries, Pedego approved bike lock and all the manuals that came with the bikes. Would prefer to sell together but will consider separately.  Originally $12k - asking $9k for both!", steel, other," 26""", 26 in,, pedal assist,,,,
5758,2295.0,denver,https://denver.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468104249.html,2022-04-07 07:48,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!, new, Cyberbike,,,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,,,,,,,,
5759,350.0,denver,https://denver.craigslist.org/bik/d/denver-buy-get-free-bikes-with-all-the/7465154899.html,2022-04-04 13:00,Buy 1 Get 1 FREE -  Bikes with all the accessories!  Trek  Raleigh,,,,,24,"If you're reading this, the bikes are still available...save us both some time and don't ask ""is this still available"".  Long post with lots of details so thanks in advance for checking it out. Cash only Buyer to pickup in Uptown Denver, near 20th St. and Logan St. Please reply with your cell phone number and I'll text you to discuss the deal Items are gently used and sold as-is   See the manufacturer page here: https://www.trekbikes.com/us/en_US/bikes/hybrid-bikes/fitness-bikes/fx/7-3-fx/p/16277/  It's your lucky day...we don't have room to store these two awesome bikes anymore and need to sell them. Each bike comes with a ton of accessories so you'll be ready to roll! See photos for all the extras! Buy 1 bike or see below for special Buy 1 Get 1 FREE offer!  Both bikes just received the Basic Tune by Bicycle Village this spring too!! Bike A: $350 Raleigh Detour 4.5, Dark Blue, 19”: $350  This comfort Hybrid bike gives the best of both worlds, comfort and efficiency. It is equipped with narrower, large diameter tires that roll faster, cover more distance easier, keep up with others and enjoy efficiency in comfort  and style. Full specs: https://www.yobicycle.com/other/raleigh-detour-4.5-2156/specs Extras installed on bike  Kickstand Fat Tire Beer Brand Bell 2 Water Bottle Holders Front/Rear Deflectors Blitzu Handle Bar Multifunction LED headlight Snap Bracelet Style Deflector  Topeak Rear Basket + Mount + Cargo CoverAlso included: Bontrager Under the Seat Saddle Bag 2 replacement tubes Genuine Inovations Ultraflate Plus 20g Air Inflater + 1 Extra Cartridge 2 Yellow Pedro’s Tire Levers Blackburn Multi-tool Tire Guage Bontrager Patches Blackburn Bike Mountable Air Pump & mount supplies 4 strap on style LED front/rear lights 2 clip on style reflectors 1 Sunlite reflector set Sefras Velcro Cell Phone Pouch  Timbiktu seat cover Freetown Helmet - BRAND NEW Blackburn Ulock w/keys Coiled Cable Alpha Combination Lock  Bike B: $900 TREK 7.3 FX, Black, $900 Whether cruising to work or to play, Trek's 7.3 FX is the ideal ride. Trek's Alpha-aluminum frame is lightweight for easy pedaling and excellent handling, and the fast-rolling 700c wheels let you ride further and faster with less effort. Plus, this great machine sports a hill-flattening 24-speed Shimano drivetrain and confidence-inspiring Avid linear-pull brakes.Full Specs: https://www.trekbikes.com/us/en_US/bikes/hybrid-bikes/fitness-bikes/fx/7-3-fx/p/16277/ Extras Installed on bike: Kickstand Bell 2 Water Bottle Holders Front/Rear Deflectors Blitzu Handle Bar Multifunction LED headlight Blackburn Bike Mountable Air Pump Snap Bracelet Style DeflectorAlso included: Bontrager Under the Seat Saddle Bag 2 replacement tubes Genuine Inovations Ultraflate Plus 20g Air Inflater + 1 Extra Cartridge 2 Red Bontrager Tire Levers Bontrager Mulit-tool Tire Gauge Extra valve caps Vibrelli Patches 3 strap on style LED front/rear lights 2 clip on style reflectors Finish Line Dry Bike Lubricant Extra Bell Timbiktu seat cover Cannondale Helmet OnGuard Mountable Ulock + Mount Supplies Kryptonite Coiled Cable Lock  BUT WAIT, there's more!  You can get either of these amazingly clean, like-new bikes individually for the prices listed above, OR, if you buy the Trek, you get BOTH for that one low price of $900 cash, firm.In other words, buy the Trek, get the Raleigh for FREE!!  If you're reading this, the bikes are still available...save us both some time and don't ask ""is this still available"".  Cash only Buyer to pickup in Uptown Denver, near 20th St. and Logan St. Please reply with your cell phone number and I'll text you to discuss the deal Items are gently used and sold as-is", aluminum, road, 19, 700C,,,,,,
5760,2200.0,denver,https://denver.craigslist.org/bik/d/boulder-rad-power-bikes-radrover/7466868766.html,2022-04-04 10:47,Rad Power Bikes Radrover electric bike,,,,,7,"Like new Rad Power Bikes Radrover ebike fat bike for sale   Like new condition with tons of upgrades  full fenders heavy duty rear rack Ortlieb XL Pannier bags Rear view mirror  Cell phone mount Chrome pedals 2 Rad Power batteries   keys, charger, tool bag, manual is also included   https://www.radpowerbikes.com/products/radrover-electric-fat-bike?variant=31655480262752", aluminum, other, one size fits all, 26 in,,,,,,
5761,40.0,denver,https://denver.craigslist.org/bik/d/denver-mongoose-mountain-bikes/7466656549.html,2022-04-03 18:54,Mongoose Mountain Bikes, fair, Mongoose,,,2,Two adult Mongoose Mountain bikes are up for grabs!  Great bikes they just need new tubes and tires. 26 inch. wheel/tire.  Asking $40 each...Call or Text 720-Two Nine One-6915...Thanks!  I DO NOT RESPOND TO CODES OR SCAMS!, aluminum, mountain, Adult, 26 in, caliper, none, flat, frame and fork (full suspension),,
5762,160.0,denver,https://denver.craigslist.org/bik/d/parker-bikes/7466645734.html,2022-04-03 18:16,Bikes,,,,,2,"Variety of bikes - 2 GT, 2 Trek, Diamond Back, Jamis, and a Redline. 6 pictured but 7 total. Selling all of them together for $160 Might sell some of them separately but would prefer all together.", other/unknown, other, Variety, other/unknown,,,,,,
5763,100.0,denver,https://denver.craigslist.org/spo/d/denver-thule-folding-hitch-bike-rack/7466612789.html,2022-04-03 16:36,Thule folding hitch bike rack (3 bikes), good, Thule,,,4,"Thule folding hitch bike rack that holds three full-size bicycles. Fits 1 1/4 inch hitch.  Cash only, please.",,,,,,,,,,
5764,1000.0,denver,https://denver.craigslist.org/wan/d/golden-we-are-looking-to-buy-movie-cars/7465196734.html,2022-04-03 13:55,We are looking to buy Movie Cars / Bikes and replicas,,,,,0,"If you or someone you know has a Movie , TV show , or Just a cool unique vehicle for sale let us know. Can email or call the number in the picture. Replica or the Real Deal we are looking to buy it. Thanks",,,,,,,,,,
5765,300.0,denver,https://denver.craigslist.org/bik/d/denver-cannondale-cujo-mountain-bikes/7466452565.html,2022-04-03 10:22,Cannondale Cujo Mountain Bikes, excellent, Cannondale, Cujo,,2,"Youth Cannondale Cujo Plus Mountain Bikes Used for two seasons, good working condition... ready to hit the trails. Disc brakes.  24"" Lime Green - $300 obo 20"" Blue - $300 obo", alloy, mountain," 24"" and 20""", 20 in, disc (hydraulic), none, flat, none (rigid),,
5766,65.0,denver,https://denver.craigslist.org/bik/d/littleton-bikes/7466431983.html,2022-04-03 09:34,Bikes,,,,,2,Bikes for sale.  May need a little maintenance from sitting around  $65/ea B/O Cash only - Pickup Only No Text e-mail for verifications If this is still listed they are available  720-30zero-2eight2eight, other/unknown, mountain, Medium, other/unknown,,,,,,
5767,200.0,denver,https://denver.craigslist.org/bik/d/denver-55cm-fixed-gear-single-speed/7466103805.html,2022-04-02 11:20,55cm Fixed Gear Single Speed Track Bike,,,,,0,,,,,,,,,,,
5768,100.0,denver,https://denver.craigslist.org/bik/d/dupont-bikes-for-sales/7457755323.html,2022-04-02 07:56,bikes for sales,,,,,6,I have these bikes for sale.  It's been sitting ever since last summer.   Everything was in working condition since the last time it was rode on.  100 for all or B.O.  Thanks for looking, other/unknown, other, Misc., other/unknown,,,,,,
5769,10.0,denver,https://denver.craigslist.org/bik/d/westminster-want-buy-your-mid-80s-26/7455456274.html,2022-04-01 19:16,"I want buy your mid 80's 26"" All Terrain Bikes.",,,,,14,I want to buy your mid-80s all-terrain bikes.. I took a few pictures of the bikes that I have that are all terrain.. so if you have anything like this or even close please let me know I would love to buy them off of you. Running or not., steel, mountain," 26""", 26 in,,,,,,
5770,100.0,denver,https://denver.craigslist.org/bik/d/denver-denver-old-bikes-club-spring/7465864051.html,2022-04-01 17:51,DENVER OLD BIKES CLUB SPRING SWAP TOMORROW!!,," Mizutani, Raleigh, etc",,,8,"I will have a few lightweight bikes at the Old Bikes Club Spring Swap tomorrow starting at 9:00am on the southeast corner of 14th & Benton St. in Lakewood.  I will have a 1960's Behrens Flying Eagle that has new 26""x1 3/8"" tires and tubes, is original and has been completely overhauled. It is a very smooth & efficient ride!! It is a little unusual as it has the cantilever frame design which is uncommon for a lightweight class of bicycle. It is more typical of the balloon tire bikes. I am 6' tall and have no problem comfortably riding this bike. (Red & white bike.) $225  I will also have a 1955 Raleigh Sports 3 speed that I got from a lifelong bike mechanic. He customized it with 3ttt road stem & bar for a little more room for taller people. He also customized the drivetrain with a Sugino Super Maxy crank/bb as well as a Shimano 600 Arabesque rear derailleur on a 2 speed cog on the Sturmey Archer AW 3 speed hub. I added a near new Brooks B72 saddle and new tires/tubes. Super fun bike to ride in this configuration with a purposeful look & feel!! (Black bike)$275  And finally a circa '76 Mizutani Super Seraph that has been completely overhauled with new cables, housing, tires and tubes. I also installed Velo Orange hammered alumimum fenders and updated the brake system to clean up the handlebar area to add a bottle cage or bar bag for commuting. The bike has also been deep cleaned, polished and protected to look good for a long time!! It has Ishiwata butted tubes and pretty light for a 58cm frame. This would make a sweet, fast commuter that you will not see another in the wild!!(Pink?magenta bike)$750  All prices are best offer.  I will have a couple of balloon frame/fork/tank projects and a few parts as well. If you can't make the swap, I live in Longmont and have tons of vintage bikes of all shapes and forms from muscle bikes, heavyweights, middleweights, lightweights, road bikes, etc. earlier than 1980.   Please stop by the swap as there will be many vendors with lots of cool stuff looking for a new home to suit your needs!!", steel, road, Med/Lg, 26 in,,,,,,
5771,30.0,denver,https://denver.craigslist.org/bik/d/denver-kids-bikes-for-50-or-for/7465710523.html,2022-04-01 12:12,2 kids bikes for $50 or 1 for,,,,,7,"Two kids 24"" bikes for sale - hoping to sell together.  I will sell separately but then asking $30ea. Reasonably good condition, everything functioning.", steel, kids," 17""", 24 in,,,,,,
5772,1999.0,denver,https://denver.craigslist.org/bid/d/mesa-best-value-bikes-1000w-soul-fast/7465634555.html,2022-04-01 09:38,BEST VALUE E BIKES⚡️ 1000W SOUL FAST SONIC SABER ELECTRIC BIKE ⚡, new, SOUL FAST ELECTRIC BIKES, SONIC SABER,,24,"2022 SONIC SABER 1000W BUY DIRECT FROM THE MANUFACTURER PRICED FROM $1999 - 1000’S IN STOCK    WWW.SOULEBIKES.COM  SOUL YOUTUBE CHANNEL E BIKE VIDS; https://www.youtube.com/watch?v=8AFtybdw1bM&list=PLoV1aLJxds4Qg1tSsr3TFb4RKRHGfsHab&index=1  With the influx of garbage electric bikes flooding the streets we decided to give the public what it wants. A high end premium performance electric bike for dirt cheap. So say goodbye to all the online crap, box store bargains and swap meet junk. The SONIC SABER delivers where all others fail.  Let’s start off with our $5,000 SONIC SS flagship frame and build off of it. For power we went with the reliable Bafang big daddy 750W hub motor that puts out a clean 1000W when matched to our optional 10.5AH integrated downtube battery. We stack the front with a HD MTB lockout suspension fork Disc brakes and top it off our signature paint finishes.   https://youtu.be/_NorAqJISkg  SABER SPECS: 6061 T6 AIRCRAFT HAND WELDED ALUM FRAME  INTEGRATED SAMSUNG 48V 10.5AH BATTERY CNC’ED DROPOUTS AND SUPPORT GUSSETS BAFANG 750W / 1000W PEAK POWER MOTOR - CLASS 2 5” BUTTER SOFT FRONT SUSPENSION FORK ADJUSTABLE PRE LOAD & LOCK OUT FRONT AND REAR DISC BRAKES  180 MM ROTORS 4” ALUMINUM RIMS  MTB TIRES  SHIMANO 7 SPEED GRIP SHIFT STAINLESS SPOKES / KMC CHAINS ALUMINUM PEDALS ALUM CRANKS  SOUL XL COMFORT SADDLES - REFLECTIVE LOGO - BOTTLE OPENER HD WELD ON KICKSTAND LIFETIME FRAME WARRANTY   UPGRADE TO THE SABER PRO SS: LONG RANGE 14AH LG BATTERY, POWERFUL HYDRAULIC BRAKES, MINI COLOR DISPLAY, SOUL FAST VEE SPEEDSTER TRIES, BILLET PEDALS, CRE HID HEADLIGHT, TIRE SEALANT, SEALED BEARING BOOTOM BRACKET, SOUL SIGNATURE 4130 CHROMOLY CRANKS, 31.8MM BILLET MTB STEM - ALUM BMX BARS  FILL OUT THE PRE ORDER FORM ONLINE OR CALL US DIRECTLY AT 833-EBIKE44 WWW.SOULBEACHCRUISERS.COM/SABER  EBR (ELECTRIC BIKE REVIEW) ON OUR SONIC SS https://youtu.be/v7trIA7jjkM  MORE VIDS! https://www.soulbeachcruisers.com/videos-2/  SOUL FAST EBIKES  CERRITOS CA - WILL CALL DISTRIBUTION HUB  HQ MESA AZ  ☎️Call: 833-EBIKE44 🛍️Shop: www.soulbeachcruisers.com/saber", aluminum, cruiser, XL, 26 in, disc (hydraulic), throttle, cruiser, suspension fork (hardtail),,
5773,200.0,denver,https://denver.craigslist.org/bop/d/evergreen-yakima-ridgeback-tilt-away/7458682899.html,2022-03-30 11:38,Yakima Ridgeback Tilt-Away Hitch Bike Rack for 2 Bikes, excellent, Yakima, Ridgeback,,2,"Fits 1.25"" and 2"" receivers. Tilts away from the back of the vehicle for easy access to your hatch-back's interior.  Very good condition.  Here's the link to Yakima's website for more details. https://yakima.com/products/ridgeback?variant=30947451338800",,,,,,,,," racks, fenders, bags",
5774,123.0,denver,https://denver.craigslist.org/wan/d/denver-bikes-and-bike-parts/7461929239.html,2022-03-29 13:05,Bikes and Bike Parts, good,,,,3,"Hi! I'm looking for bikes and bike parts! If you have VINTAGE parts, even better! Looking for anything! I posted some photos of kinda what I'm looking for. Feel free to shoot me a text or email with some photos of what you're trying to get rid of. Thanks so much for reading!",,,,,,,,,,
5775,1699.0,denver,https://denver.craigslist.org/bid/d/wheat-ridge-in-stock-felt-broam-40/7464480350.html,2022-03-29 12:40,IN STOCK! Felt Broam 40 Gravel Bike Cyclocross Bikes are IN STOCK!, new, Felt, Broam 40,,9,"The Bicycle Broker 6190 West 38th Ave Wheat Ridge, CO  303.900.1907 52cm, 54cm 56cm, 58cm 61cm  DUAL-WHEEL COMPATIBILITY & TIRE CLEARANCE Different wheel sizes give you the freedom to run whatever size or type of tire you wish. That’s why we made the Broam compatible with both 650b and 700c wheel sizes. The Broam comes standard with 700c hoops, the traditional size for road bikes. They can accommodate up to 45mm-wide tires, giving you the versatility to select your optimal rubber for whatever route you have in mind. If you opt to switch out your stock wheels for a set of 650 alternatives, you can fit tires that are up to 2.1 inches wide.", aluminum, gravel, 42cm 54cm 56cm 58cm, 700C,,,,,,
5776,425.0,denver,https://denver.craigslist.org/bik/d/denver-rocky-mountain-bikes-track-bike/7464389969.html,2022-03-29 09:54,Rocky Mountain Bikes track bike, excellent, Rocky Mountain Bikes,,,0,"Awesome bike by Rocky Mountain Bikes with single speed or fixed gear configuration. Has front and rear brakes. Great commuter bike, low maintenance. Strong and lightweight.", steel, track, 17.5 inches, 700C,,,, none (rigid),,
5777,120.0,denver,https://denver.craigslist.org/bop/d/broomfield-trule-car-bike-rack-bikes/7464050991.html,2022-03-28 12:35,Trule Car Bike Rack- 3 Bikes,,,,,3,Clearing out for a move - just not used enough to keep. It is in great condition holds 3 bikes.,,,,,,,,,,
5778,50.0,denver,https://denver.craigslist.org/spo/d/denver-thule-tailgate-cover-for-bikes/7452022469.html,2022-03-27 15:25,Thule tailgate cover for bikes, good, Thule,,,3,Thule tailgate cover for bikes. Great condition. $50,,,,,,,,,,
5779,50.0,denver,https://denver.craigslist.org/bik/d/golden-old-school-bikes-must-part-with/7463248433.html,2022-03-26 11:48,2 Old School Bikes Must Part with Soon,, Schwinn," Varsity, Mirada",,10,"Blue Bike is an old school Schwinn Mirada. I restored it myself and it has newly repacked bearings, brake pads, and brake cables. Unfortunately I hit a bump while riding it and dented the front wheel. Easy replacement if you have the same wheel. This one is a bit smaller and frame size is medium.   Brown bike is a vintage Schwinn Varsity, the back wheel axle is stripped and has been the issue since I bought it. Haven’t ridden it but can also be fixed by replacing the wheel. This one is a large frame with old school shifting.   Can be bought for parts or whole. I’m taking best offers, and yes, you can ask to buy just one.   I have ball bearings and two D-locks I can throw in part of the deal for good offers.", steel, road, Large, 18 in, cantilever,, cruiser, none (rigid),,
